Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/List,Ljava/util/List,doOptimize,statisticsDHistory,add(value),635,Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer>,1,true,1) 1;null;null; ,false
java/util/List,Ljava/util/List,addChromosome,chromosomes,size,149,Lorg/apache/commons/math3/genetics/ListPopulation>,2,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/List,addChromosome,chromosomes,size,150,Lorg/apache/commons/math3/genetics/ListPopulation>,2,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/List,addChromosome,chromosomes,add(value),153,Lorg/apache/commons/math3/genetics/ListPopulation>,2,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent1Rep,randomGet,157,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; 2) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c1,add(value),157,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; 2) 2;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent2Rep,randomGet,158,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; 2) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c2,add(value),158,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; 2) 2;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent1Rep,sequentialGet,171,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c1,add(value),171,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent2Rep,sequentialGet,172,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c2,add(value),172,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent1Rep,randomGet,157,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 1;ON;null; 2) 1;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c1,add(value),157,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 1;ON;null; 2) 1;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent2Rep,randomGet,158,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 1;ON;null; 2) 1;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c2,add(value),158,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 1;ON;null; 2) 1;ON;null; ,false
java/util/List,Ljava/util/List,mate,parent1Rep,sequentialGet,171,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/ArrayList,mate,c1,add(value),171,Lorg/apache/commons/math3/genetics/NPointCrossover>,1,true,1) 1;ON;null; ,false
